ctsk_task_name,ctti_time_els_value,ctsk_lines,ctsk_current_value,ctsk_waiting_date,ctsk_parking_dock_code,cdct_name,ctsk_id,ctsk_document_id,ctsk_reference,ctsk_complete_date,ctsk_task_description,ctst_name,ctsk_pci,ctsk_organization_id,ctsk_target_value,ctsk_created_on,cwhs_code,ctsk_priority,ctsk_task_user,ctsk_running_date,ctsk_task_state,ctsk_planning_date,metadata_fecha_consulta
515274 Herraje,00:00:02.789429,1.0,0.0,2025-09-05T14:29:20.800261,,VENTA PUNTUAL,231015,515275,,,Orden No. 144835,Picking,0.0,98,5.0,2025-09-05T13:00:34.68414,1290,Muy baja,sacosta,2025-09-05T15:19:26.634959,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
"515271 BUC-CUÑETES, PEGANTES, PINTURAS Y SIKA",00:05:17.237787,1.0,2.0,2025-09-05T13:19:29.87436,,CLIENTE RECOGE,231014,515273,,2025-09-05T13:25:56.614229,Orden No. 883072257,Picking,1.0,98,2.0,2025-09-05T13:00:28.780117,1145,Alta,jgomez,2025-09-05T13:20:38.741033,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
515268 CANTOS Y HERRAJES ,00:00:03.551827,3.0,0.0,2025-09-05T14:03:40.48092,,VENTA PUNTUAL,231013,515270,,,Orden No. 144834,Picking,0.0,98,80.0,2025-09-05T13:00:24.000133,1145,Muy baja,eduarte,2025-09-05T15:38:28.125575,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
"515263 Madera F5,F6,F7 Y F8",,1.0,0.0,,,ARDISA ENTREGA,231012,515264,,,Orden No. 883072256,Picking,0.0,98,10.0,2025-09-05T12:45:23.227534,1290,Muy baja,,,Pending,2025-09-08T00:00:00,2025-09-05 15:39:43
515260  -  CRA 16 27 65,00:22:02.71972,2.0,2.0,2025-09-05T12:43:33.535242,,FOCUSS PUNTOS DE VENTAS,231011,515260,,2025-09-05T13:17:57.098891,,Auditoria Picking,1.0,98,2.0,2025-09-05T12:43:22.466583,1145,Normal,sfiallo,2025-09-05T12:55:54.379171,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
515260 PISO-PARED PICKING ATL 10-20,00:02:37.575808,2.0,2.0,2025-09-05T12:43:17.789112,,FOCUSS PUNTOS DE VENTAS,231010,515261,,2025-09-05T13:17:20.4762,Orden No. 144833,Picking,1.0,98,2.0,2025-09-05T12:37:59.112187,1145,Muy baja,abarragan,2025-09-05T12:44:06.728112,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
515257 CANTOS Y HERRAJES ,00:00:03.243536,1.0,0.0,2025-09-05T14:03:40.48092,,VENTA PUNTUAL,231009,515258,,,Orden No. 144832,Picking,0.0,98,30.0,2025-09-05T12:37:54.015128,1145,Muy baja,eduarte,2025-09-05T15:38:22.263874,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
515128  -  CR 30 29-16 LA AURORA,01:11:46.879042,4.0,12000.0,2025-09-05T12:16:28.50779,,ARDISA ENTREGA,231008,515128,,2025-09-05T15:03:37.655314,,Auditoria Picking,1.0,98,12000.0,2025-09-05T12:16:15.944131,1145,Normal,hpinzon,2025-09-05T12:56:29.783885,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
"515250 Madera F5,F6,F7 Y F8<A10",00:03:10.57338,1.0,5.0,2025-09-05T12:16:28.156921,,PRODUCCIÒN,231007,515251,,2025-09-05T12:30:58.331798,Orden No. 144831,Picking,1.0,98,5.0,2025-09-05T12:12:41.424147,1290,Muy baja,jluque,2025-09-05T12:27:36.654057,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
515245 Canto,00:52:00.26282,14.0,276.0,2025-09-05T12:16:28.156921,,PRODUCCIÒN,231006,515246,,2025-09-05T14:41:21.634769,Orden No. 144830,Picking,0.9517241379310345,98,290.0,2025-09-05T12:07:34.268161,1290,Muy baja,cangel,2025-09-05T12:18:24.862893,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
515144  -  CRA 16 27 65,00:00:17.045274,1.0,12.0,2025-09-05T12:03:29.409723,,PRODUCCIÒN,230998,515144,,2025-09-05T15:28:23.741396,,Auditoria Picking,1.0,98,12.0,2025-09-05T12:02:47.047837,1145,Normal,hpinzon,2025-09-05T15:28:06.696122,Complete,2025-09-06T00:00:00,2025-09-05 15:39:43
